rf,rfcat,sex,age,risk30,risk60,risk80
"diabcat",4,1,4,6.57e-06,.0002771,.0002771
"diabcat",1,0,5,4.92e-07,.0000404,.0000404
"diabcat",2,0,5,6.31e-06,.0003218,.0003218
"diabcat",3,0,5,.0000112,.000442,.000442
"diabcat",4,0,5,6.57e-06,.0002771,.0002771
"diabcat",1,1,5,4.92e-07,.0000404,.0000404
"diabcat",2,1,5,6.31e-06,.0003218,.0003218
"diabcat",3,1,5,.0000112,.000442,.000442
"diabcat",4,1,5,6.57e-06,.0002771,.0002771
"diabcat",1,0,6,4.92e-07,.0000404,.0000404
"diabcat",2,0,6,6.31e-06,.0003218,.0003218
"diabcat",3,0,6,.0000112,.000442,.000442
"diabcat",4,0,6,6.57e-06,.0002771,.0002771
"diabcat",1,1,6,4.92e-07,.0000404,.0000404
"diabcat",2,1,6,6.31e-06,.0003218,.0003218
"diabcat",3,1,6,.0000112,.000442,.000442
"diabcat",4,1,6,6.57e-06,.0002771,.0002771
"cancer_exhaem_cat",1,0,1,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,0,1,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,0,1,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,0,1,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,1,1,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,1,1,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,1,1,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,1,1,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,0,2,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,0,2,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,0,2,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,0,2,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,1,2,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,1,2,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,1,2,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,1,2,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,0,3,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,0,3,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,0,3,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,0,3,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,1,3,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,1,3,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,1,3,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,1,3,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,0,4,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,0,4,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,0,4,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,0,4,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,1,4,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,1,4,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,1,4,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,1,4,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,0,5,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,0,5,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,0,5,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,0,5,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,1,5,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,1,5,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,1,5,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,1,5,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,0,6,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,0,6,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,0,6,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,0,6,4.78e-06,.0002477,.0002477
"cancer_exhaem_cat",1,1,6,9.94e-07,.000061,.000061
"cancer_exhaem_cat",2,1,6,9.58e-06,.0004049,.0004049
"cancer_exhaem_cat",3,1,6,5.38e-06,.000269,.000269
"cancer_exhaem_cat",4,1,6,4.78e-06,.0002477,.0002477
"cancer_haem_cat",1,0,1,1.11e-06,.000068,.000068
"cancer_haem_cat",2,0,1,.0000382,.0010511,.0010511
"cancer_haem_cat",3,0,1,.0000334,.0009758,.0009758
"cancer_haem_cat",4,0,1,.0000101,.0004113,.0004113
"cancer_haem_cat",1,1,1,1.11e-06,.000068,.000068
"cancer_haem_cat",2,1,1,.0000382,.0010511,.0010511
"cancer_haem_cat",3,1,1,.0000334,.0009758,.0009758
"cancer_haem_cat",4,1,1,.0000101,.0004113,.0004113
"cancer_haem_cat",1,0,2,1.11e-06,.000068,.000068
"cancer_haem_cat",2,0,2,.0000382,.0010511,.0010511
"cancer_haem_cat",3,0,2,.0000334,.0009758,.0009758
"cancer_haem_cat",4,0,2,.0000101,.0004113,.0004113
"cancer_haem_cat",1,1,2,1.11e-06,.000068,.000068
"cancer_haem_cat",2,1,2,.0000382,.0010511,.0010511
"cancer_haem_cat",3,1,2,.0000334,.0009758,.0009758
"cancer_haem_cat",4,1,2,.0000101,.0004113,.0004113
"cancer_haem_cat",1,0,3,1.11e-06,.000068,.000068
"cancer_haem_cat",2,0,3,.0000382,.0010511,.0010511
"cancer_haem_cat",3,0,3,.0000334,.0009758,.0009758
"cancer_haem_cat",4,0,3,.0000101,.0004113,.0004113
"cancer_haem_cat",1,1,3,1.11e-06,.000068,.000068
"cancer_haem_cat",2,1,3,.0000382,.0010511,.0010511
"cancer_haem_cat",3,1,3,.0000334,.0009758,.0009758
"cancer_haem_cat",4,1,3,.0000101,.0004113,.0004113
"cancer_haem_cat",1,0,4,1.11e-06,.000068,.000068
"cancer_haem_cat",2,0,4,.0000382,.0010511,.0010511
"cancer_haem_cat",3,0,4,.0000334,.0009758,.0009758
"cancer_haem_cat",4,0,4,.0000101,.0004113,.0004113
"cancer_haem_cat",1,1,4,1.11e-06,.000068,.000068
"cancer_haem_cat",2,1,4,.0000382,.0010511,.0010511
"cancer_haem_cat",3,1,4,.0000334,.0009758,.0009758
"cancer_haem_cat",4,1,4,.0000101,.0004113,.0004113
"cancer_haem_cat",1,0,5,1.11e-06,.000068,.000068
"cancer_haem_cat",2,0,5,.0000382,.0010511,.0010511
"cancer_haem_cat",3,0,5,.0000334,.0009758,.0009758
"cancer_haem_cat",4,0,5,.0000101,.0004113,.0004113
"cancer_haem_cat",1,1,5,1.11e-06,.000068,.000068
"cancer_haem_cat",2,1,5,.0000382,.0010511,.0010511
"cancer_haem_cat",3,1,5,.0000334,.0009758,.0009758
"cancer_haem_cat",4,1,5,.0000101,.0004113,.0004113
"cancer_haem_cat",1,0,6,1.11e-06,.000068,.000068
"cancer_haem_cat",2,0,6,.0000382,.0010511,.0010511
"cancer_haem_cat",3,0,6,.0000334,.0009758,.0009758
"cancer_haem_cat",4,0,6,.0000101,.0004113,.0004113
"cancer_haem_cat",1,1,6,1.11e-06,.000068,.000068
"cancer_haem_cat",2,1,6,.0000382,.0010511,.0010511
"cancer_haem_cat",3,1,6,.0000334,.0009758,.0009758
"cancer_haem_cat",4,1,6,.0000101,.0004113,.0004113
"reduced_kidney_function_cat",1,0,1,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,0,1,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,0,1,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,1,1,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,1,1,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,1,1,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,0,2,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,0,2,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,0,2,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,1,2,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,1,2,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,1,2,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,0,3,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,0,3,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,0,3,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,1,3,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,1,3,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,1,3,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,0,4,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,0,4,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,0,4,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,1,4,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,1,4,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,1,4,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,0,5,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,0,5,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,0,5,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,1,5,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,1,5,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,1,5,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,0,6,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,0,6,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,0,6,.0000941,.0023344,.0023344
"reduced_kidney_function_cat",1,1,6,2.98e-07,.0000341,.0000341
"reduced_kidney_function_cat",2,1,6,8.70e-06,.0004927,.0004927
"reduced_kidney_function_cat",3,1,6,.0000941,.0023344,.0023344
"Smoking, comorb=0",1,0,1,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,0,1,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,0,1,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,0,1,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,0,1,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,0,1,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,1,1,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,1,1,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,1,1,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,1,1,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,1,1,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,1,1,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,0,2,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,0,2,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,0,2,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,0,2,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,0,2,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,0,2,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,1,2,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,1,2,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,1,2,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,1,2,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,1,2,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,1,2,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,0,3,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,0,3,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,0,3,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,0,3,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,0,3,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,0,3,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,1,3,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,1,3,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,1,3,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,1,3,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,1,3,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,1,3,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,0,4,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,0,4,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,0,4,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,0,4,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,0,4,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,0,4,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,1,4,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,1,4,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,1,4,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,1,4,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,1,4,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,1,4,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,0,5,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,0,5,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,0,5,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,0,5,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,0,5,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,0,5,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,1,5,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,1,5,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,1,5,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,1,5,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,1,5,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,1,5,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,0,6,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,0,6,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,0,6,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,0,6,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,0,6,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,0,6,6.12e-07,.0000541,.0000541
"Smoking, comorb=0",1,1,6,7.54e-09,3.52e-06,3.52e-06
"Smoking, comorb=1",1,1,6,1.38e-06,.0000972,.0000972
"Smoking, comorb=0",2,1,6,1.68e-08,7.89e-06,7.89e-06
"Smoking, comorb=1",2,1,6,4.50e-06,.0002319,.0002319
"Smoking, comorb=0",3,1,6,1.41e-09,1.80e-06,1.80e-06
"Smoking, comorb=1",3,1,6,6.12e-07,.0000541,.0000541
